;;Categorical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Numerical;Numerical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Numero_De_Inventario;Cava;Especie;Id del Centro;Longevidad;Ultimo Monitoreo
BGVCOL15061264;171840;5.52;5;2;2;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061265;171840;5.65;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061265;171840;5.41;5;3;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061271;171840;2.34;15;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15061271;171840;5.37;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15061271;171820;6.71;5;3;3;2;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15061273;171840;9.58;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061273;171840;4.3;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061273;171840;7.2;5;3;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061273;171820;4.36;5;3;2;3;-20°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061274;171840;0.58;15;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15061274;171840;5.31;5;3;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061277;171840;0.21;5;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061279;171840;89;15;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061279;171840;6.82;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061279;171820;5.21;15;2;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061280;171840;4.19;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061280;171840;1.21;5;3;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15061280;171840;4.96;2;2;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061281;171840;9.29;5;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061282;171840;8.45;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061282;171840;8.1;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061282;171840;9.86;5;3;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061282;171820;4.25;5;3;2;3;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15061283;171840;5.27;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061283;171840;5.36;5;3;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061283;171840;7.24;5;3;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061283;171820;1.72;5;3;3;3;-20°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061284;171840;5.35;5;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061284;171840;3.21;5;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061285;171840;7.47;2;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061286;171840;5.29;5;3;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
