;;Numerical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Numero de Inventario;Sufijo de Inventario;Species;ID Centro ;Fecha de entrada a cava;Fecha de ultima prueba
BGVCOL11030081;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030082;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030082;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030082;1001112;5;1;2.0;2;;-20°C B-1;Glycine max;45;0.0;26/04/2006 0:00
BGVCOL11030083;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030083;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030084;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030085;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030085;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030086;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030086;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030087;1001311;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;4/04/2014 0:00
BGVCOL11030087;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030088;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030088;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030089;1001311;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030089;1001311;5;4;1.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030089;1001111;5;1;3.0;1;;-20°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030090;1001311;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;11/03/2014 0:00
BGVCOL11030090;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030090;1001312;5;4;1.0;2;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030090;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030091;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030091;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030092;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030092;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030093;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030093;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030094;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030094;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030095;1001311;5;4;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030095;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030096;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030096;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030097;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030097;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030098;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030098;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030099;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030099;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030100;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030100;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030101;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030101;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030102;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030102;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030103;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030103;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030104;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030104;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030105;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030105;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030106;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030106;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030107;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030107;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030108;1001311;5;7;2.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030108;1001311;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;17/01/2014 0:00
BGVCOL11030108;1001311;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030108;1001112;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
