,Accession_id,Inventory_id,ARN,Especie,Cantidad_De_Semilla,Estado_De_Disponibilidad,Numero_De_Inventario,Cava,Fecha_De_Origen,Fecha_ultima_Prueba,Porcentaje_Normal,Fecha_De_Entrada_Cava
6026,8082,41453,BGVCOL11030882,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6027,8083,41454,BGVCOL11030883,Glycine max,1,13,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
6028,8083,41455,BGVCOL11030883,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
6029,8084,41456,BGVCOL11030884,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
6030,8084,41457,BGVCOL11030884,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6031,8085,41458,BGVCOL11030885,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
6032,8085,41459,BGVCOL11030885,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
6033,8086,41460,BGVCOL11030886,Glycine max,2,13,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
6034,8087,41461,BGVCOL11030887,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6035,8087,41462,BGVCOL11030887,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
6036,8088,41463,BGVCOL11030888,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6037,8088,41464,BGVCOL11030888,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6038,8089,41465,BGVCOL11030889,Glycine max,1,8,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
6039,8089,41466,BGVCOL11030889,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
6040,8090,41467,BGVCOL11030890,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
6041,8090,41468,BGVCOL11030890,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
